"Pop1"	"Pop2"	"Pop3"	"Pop4"	"ABBA"	"BABA"	"JackMean"	"JackError"	"Z"
"Chimp"	"Neanderthal"	"Dai"	"British"	2008	2026	0.00427492533657784	0.00446244668550951	0.957977907155598
"Chimp"	"Neanderthal"	"Dai"	"Yoruba"	2376	2274	-0.0221678764694615	0.00298405360365869	-7.4287795776463
"Chimp"	"Neanderthal"	"Dai"	"Mbuti"	2866	2731	-0.0239489897210892	0.00242242538792569	-9.88636836472252
"Chimp"	"Neanderthal"	"Dai"	"Papuan"	2105	2247	0.0326047063277748	0.00270942877181651	12.0337934943812
"Chimp"	"Neanderthal"	"British"	"Yoruba"	2306	2192	-0.0254541950122953	0.00404645807961868	-6.29048775780076
"Chimp"	"Neanderthal"	"British"	"Mbuti"	2781	2629	-0.0278777047117826	0.00493719750679512	-5.64646333743267
"Chimp"	"Neanderthal"	"British"	"Papuan"	2126	2264	0.0313563945275597	0.00569422424877635	5.50670173102121
"Chimp"	"Neanderthal"	"Yoruba"	"Mbuti"	2657	2635	-0.00385247805347603	0.00456020818713355	-0.844803108846137
"Chimp"	"Neanderthal"	"Yoruba"	"Papuan"	2245	2500	0.0538732541407384	0.00449844491979356	11.9759728308979
"Chimp"	"Neanderthal"	"Mbuti"	"Papuan"	2540	2816	0.0513542033847593	0.00221941385018548	23.138633374063
"Chimp"	"Denisovan"	"Dai"	"British"	1841	1860	0.00524211164048418	0.00249871645315935	2.09792176853685
"Chimp"	"Denisovan"	"Dai"	"Yoruba"	2147	2124	-0.0054247496425263	0.00265917232272558	-2.04001432933315
"Chimp"	"Denisovan"	"Dai"	"Mbuti"	2595	2544	-0.00977510852468775	0.00223434047386655	-4.37494134802644
"Chimp"	"Denisovan"	"Dai"	"Papuan"	1910	2119	0.0517617149652331	0.00308940236655061	16.7546045557757
"Chimp"	"Denisovan"	"British"	"Yoruba"	2130	2094	-0.00859197546157874	0.00200037493003776	-4.29518253431449
"Chimp"	"Denisovan"	"British"	"Mbuti"	2575	2510	-0.0127234964845224	0.00278719254618049	-4.56498654962264
"Chimp"	"Denisovan"	"British"	"Papuan"	1960	2157	0.0476366853040526	0.00436242390811402	10.9197744894643
"Chimp"	"Denisovan"	"Yoruba"	"Mbuti"	2508	2503	-0.00088092080209913	0.00333700842611825	-0.263985189610041
"Chimp"	"Denisovan"	"Yoruba"	"Papuan"	2094	2326	0.0524389858907325	0.00456863683208259	11.4780377206801
"Chimp"	"Denisovan"	"Mbuti"	"Papuan"	2369	2629	0.0517862644242964	0.0029582721789011	17.5055780173456
